N,big_area,big_area_difference,small_area,small_area_difference
73100,0.946279,0.00176185,0.947568,0.00305036
73600,0.947116,0.0025985,0.947329,0.00281213
74100,0.946629,0.00211184,0.9472,0.00268254
74600,0.947061,0.00254397,0.94703,0.00251281
75100,0.948523,0.00400599,0.947299,0.00278225
75600,0.949066,0.00454847,0.947338,0.00282078
76100,0.948707,0.00418954,0.947294,0.00277667
76600,0.949495,0.00497758,0.947332,0.00281473
77100,0.949516,0.00499882,0.947207,0.00269017
77600,0.949412,0.00489449,0.947044,0.00252695
78100,0.95018,0.00566289,0.947383,0.00286598
78600,0.951557,0.00703996,0.947539,0.00302178
79100,0.951811,0.00729344,0.947831,0.00331388
79600,0.951328,0.00681092,0.947766,0.00324899
80100,0.951458,0.00694129,0.947644,0.00312638
80600,0.952552,0.00803502,0.947678,0.00316039
81100,0.952554,0.00803636,0.947499,0.00298204
81600,0.95327,0.00875254,0.947381,0.00286333
82100,0.95303,0.00851266,0.947358,0.00284122
82600,0.952204,0.00768717,0.947469,0.00295179
83100,0.952091,0.00757358,0.947277,0.00276019
83600,0.953607,0.00908945,0.947518,0.00300076
84100,0.95337,0.00885327,0.94731,0.00279256
84600,0.954976,0.0104586,0.947473,0.00295622
85100,0.954277,0.00976015,0.94725,0.00273237
85600,0.953928,0.00941062,0.947083,0.0025659
86100,0.954599,0.0100814,0.947263,0.00274617
86600,0.954139,0.00962177,0.947207,0.0026898
87100,0.953685,0.00916742,0.947277,0.00275965
87600,0.954234,0.00971712,0.947471,0.00295356
88100,0.954557,0.0100399,0.947148,0.00263094
88600,0.954108,0.00959085,0.947464,0.00294684
89100,0.954646,0.0101289,0.947461,0.00294353
89600,0.954636,0.0101184,0.947144,0.00262637
90100,0.955812,0.011295,0.947142,0.00262488
90600,0.957083,0.0125659,0.946813,0.00229573
91100,0.957913,0.013396,0.947105,0.00258764
91600,0.959477,0.01496,0.947564,0.00304695
92100,0.959124,0.0146069,0.947425,0.00290749
92600,0.95909,0.0145726,0.94732,0.00280328
93100,0.958743,0.0142254,0.94715,0.00263306
93600,0.959438,0.0149205,0.947149,0.00263159
94100,0.958679,0.0141619,0.947048,0.0025305
94600,0.959367,0.01485,0.946865,0.0023479
95100,0.958924,0.0144064,0.946947,0.00243011
95600,0.958078,0.0135607,0.946751,0.0022336
96100,0.958151,0.0136342,0.94667,0.00215295
96600,0.959331,0.0148141,0.946509,0.00199226
97100,0.959798,0.0152809,0.946576,0.00205851
97600,0.96036,0.0158426,0.946513,0.00199601
98100,0.960618,0.0161012,0.946292,0.00177486
98600,0.960973,0.0164558,0.946723,0.00220568
99100,0.959362,0.0148447,0.946771,0.00225375
99600,0.959622,0.0151045,0.946724,0.00220721
